Unnamed: 0,letter,xbox,ybox,width,height,onpix,xbar,ybar,x2bar,y2bar,xybar,x2ybar,xy2bar,xedge,xedgeycor,yedge,yedgexcor
407,R,6,9,6,4,4,5,8,3,6,7,4,10,5,7,5,7
907,R,5,10,6,6,3,6,13,9,3,7,2,9,3,7,5,10
1770,R,2,2,3,4,3,7,7,5,6,7,6,7,3,7,5,8
802,B,4,4,5,7,4,7,6,9,7,6,6,7,2,7,9,10
200,B,4,10,3,8,7,7,6,9,6,7,7,7,2,9,8,10
30,P,2,1,3,2,2,6,9,5,5,9,7,4,1,9,4,7
1212,B,4,9,6,6,7,8,8,7,6,7,4,6,2,7,7,10
553,P,5,7,7,5,3,7,11,4,6,13,6,3,1,10,3,8
146,P,5,9,6,7,4,6,10,4,7,10,9,4,0,10,5,7
142,P,4,7,6,5,3,9,8,2,6,13,5,6,2,10,3,9
102,P,7,12,6,7,4,7,10,3,5,13,5,3,3,11,5,6
704,B,4,8,6,5,3,8,8,4,7,10,5,6,2,8,6,10
343,A,9,13,7,7,4,8,2,3,2,8,4,12,5,4,5,6
347,P,5,10,7,8,6,8,9,5,4,12,5,4,2,10,3,8
1182,P,4,8,6,5,5,4,11,4,5,11,9,5,0,10,3,6
361,A,2,4,4,3,2,10,3,2,2,9,2,9,2,7,3,10
1029,B,9,15,5,8,4,9,5,6,6,10,3,9,6,6,7,11
624,A,4,10,7,7,5,7,5,2,3,5,2,6,3,7,4,4
904,R,4,11,6,9,5,7,9,4,7,6,5,7,5,5,6,9
1757,B,4,8,6,6,5,9,7,4,7,10,5,6,2,8,6,10
5,R,2,7,4,4,4,8,6,7,3,8,6,8,4,6,7,8
743,A,1,9,4,6,2,7,4,4,2,6,1,8,2,8,2,8
501,R,2,1,1,1,1,6,9,8,4,7,5,7,2,7,4,11
877,A,8,15,6,8,4,8,3,3,2,8,4,11,7,4,5,8
462,P,2,4,4,3,2,7,11,5,2,11,5,3,1,10,2,9
1941,P,2,6,3,5,3,5,10,7,2,9,6,5,1,10,3,8
1903,B,8,12,6,6,4,10,5,6,5,11,3,9,5,7,6,10
1847,A,2,5,4,3,2,7,3,1,2,6,2,8,3,5,2,8
254,P,4,7,5,5,3,8,8,3,5,13,4,3,1,10,3,9
1806,R,3,6,4,4,3,7,7,4,5,6,5,6,3,7,4,8
955,A,3,8,5,6,2,8,5,2,1,7,0,8,2,7,2,8
814,R,2,5,4,2,2,8,7,3,4,10,4,7,2,6,3,10
899,A,2,6,3,3,2,11,3,2,2,9,2,9,2,7,2,8
1085,P,3,7,5,11,8,8,9,5,0,8,6,6,5,11,6,9
1528,B,1,3,3,2,2,8,7,3,5,9,6,7,2,8,4,8
1261,R,6,11,9,8,8,9,8,4,6,9,3,6,4,6,4,11
204,R,3,4,4,2,3,7,8,5,5,6,4,6,2,7,4,9
1030,B,5,6,7,4,5,8,8,6,4,6,5,6,4,8,6,5
1774,A,2,1,3,1,1,7,3,2,0,7,2,8,3,6,1,8
89,A,4,11,7,8,4,12,4,3,3,9,1,9,3,8,3,9
1391,A,1,6,4,4,2,8,3,2,2,7,2,8,2,6,2,6
281,A,3,3,5,4,1,9,3,3,2,8,2,9,3,6,2,8
221,B,5,7,7,5,5,10,6,3,7,11,3,7,4,6,6,11
1072,P,4,9,5,11,10,8,9,3,0,8,7,6,8,10,6,8
181,B,6,11,8,8,8,9,6,4,5,7,6,7,4,8,6,10
166,P,4,7,6,5,3,5,12,6,2,12,4,2,1,10,3,8
2097,A,3,6,5,4,3,11,2,2,2,9,2,9,3,6,3,8
157,B,4,7,5,5,5,8,6,6,6,6,6,6,2,8,7,9
844,R,3,6,5,4,4,7,9,4,5,8,4,8,3,5,4,11
101,P,3,4,5,4,2,8,9,4,4,11,4,3,1,11,3,8
262,P,2,4,4,3,2,7,8,3,4,12,5,4,1,10,3,8
844,P,5,11,6,8,4,4,11,10,3,9,6,4,2,10,4,8
739,A,2,11,6,8,2,9,6,3,1,8,0,8,2,7,2,8
1202,R,2,4,2,3,2,7,6,5,5,6,5,6,2,7,4,8
243,A,2,1,4,2,1,8,2,2,2,8,1,8,2,6,2,7
749,B,4,9,4,7,4,6,7,9,7,7,6,7,2,8,9,10
686,P,3,6,4,4,2,9,9,3,4,13,4,3,1,10,3,9
616,B,5,7,8,6,9,9,6,4,4,8,6,8,7,9,8,7
293,B,11,15,9,8,9,8,8,4,6,10,5,6,8,3,9,7
1244,R,5,5,6,8,3,6,10,10,4,7,5,9,3,8,6,11
801,A,7,13,7,7,4,12,3,6,2,12,2,10,5,3,4,10
1834,R,3,6,4,4,5,6,8,8,4,7,6,8,2,8,5,11
695,P,1,1,2,1,1,5,11,8,2,9,6,4,1,9,3,8
2010,A,6,9,9,8,8,7,8,2,4,6,7,8,6,5,5,6
877,B,4,9,5,6,7,9,6,4,4,5,7,7,7,9,8,6
1934,P,3,4,5,3,1,7,9,3,4,11,4,2,1,10,2,8
1549,R,7,11,9,8,9,8,9,8,4,8,5,6,5,8,8,12
425,P,6,10,5,5,3,4,13,6,1,12,6,4,3,10,3,8
546,A,3,7,5,5,2,10,2,2,2,9,2,8,2,6,4,8
228,A,1,3,3,2,1,6,3,2,3,5,2,8,1,6,1,7
275,B,1,1,2,2,1,7,7,8,5,7,6,7,2,8,7,9
18,B,2,4,3,3,3,7,8,5,5,7,6,6,2,8,6,9
929,R,4,4,4,6,3,5,9,9,4,7,5,8,3,8,5,10
228,P,5,11,7,8,6,7,7,7,5,8,7,8,2,9,7,9
901,A,2,7,4,6,2,10,3,2,2,9,1,9,2,6,2,8
478,B,4,7,6,5,5,9,7,4,5,9,5,6,2,8,5,9
2046,B,3,7,5,5,7,8,6,5,3,7,6,8,6,10,8,7
914,A,3,5,6,4,3,9,1,2,2,8,1,8,2,6,2,7
552,R,6,10,6,8,3,5,11,9,4,7,4,8,3,6,6,11
59,B,3,6,5,4,2,9,7,3,7,9,6,6,2,8,5,8
1651,A,3,7,5,5,3,11,3,2,2,8,2,9,3,4,2,8
242,R,10,14,8,8,5,8,8,6,5,9,4,9,7,5,6,11
680,R,6,10,7,7,6,8,9,4,5,8,4,8,3,6,6,11
635,R,6,11,7,8,8,6,8,6,6,6,5,7,3,7,5,8
252,P,7,10,10,8,5,6,13,7,2,11,4,2,1,11,4,8
873,R,4,8,7,6,7,9,7,7,3,8,6,8,6,6,6,11
497,P,10,14,8,8,4,9,8,6,5,14,3,5,5,10,4,8
321,R,3,3,4,4,2,5,10,9,4,7,4,8,2,7,6,11
947,R,4,7,4,5,2,6,10,9,4,7,5,8,2,8,5,10
1630,B,9,11,7,6,4,10,4,5,6,11,3,9,6,7,6,11
25,B,4,6,6,4,2,10,7,3,8,11,3,6,1,8,5,10
113,R,3,5,6,4,4,9,7,3,5,9,4,6,3,7,4,10
1769,R,3,5,5,4,3,8,7,3,5,10,4,6,3,8,3,9
1863,A,4,6,6,4,3,7,3,2,2,5,2,7,2,6,2,7
103,A,6,8,9,8,8,8,7,3,5,7,7,7,5,8,4,5
1004,B,3,8,3,6,4,6,6,8,6,7,7,7,2,9,6,9
1424,R,4,6,7,4,5,8,8,7,3,8,4,7,4,6,7,9
769,R,4,5,7,5,7,9,6,5,4,8,5,7,6,8,6,7
1675,B,5,11,8,8,7,9,7,4,6,10,5,6,3,8,6,10
671,A,2,1,4,2,1,8,2,2,2,7,1,8,2,5,2,7
2100,B,3,7,5,5,7,9,8,4,3,6,7,7,4,11,7,7
994,P,4,11,6,9,6,7,9,5,5,9,8,3,2,10,4,6
690,R,5,10,5,7,6,6,7,5,6,6,3,8,3,6,4,8
203,B,4,3,4,5,3,6,7,8,6,7,6,6,2,8,9,9
1663,P,4,8,6,7,4,6,10,5,6,10,8,3,1,10,4,7
540,A,3,7,6,5,4,12,3,2,2,8,2,8,4,5,2,8
1471,R,9,13,7,7,4,9,5,5,6,9,4,9,6,6,7,11
307,P,4,6,5,4,3,8,9,5,5,12,4,3,1,9,4,8
764,A,3,11,6,8,2,8,7,3,1,7,0,8,3,7,2,8
296,A,4,5,6,3,2,9,2,2,2,8,2,10,3,7,2,8
1443,B,4,7,6,5,5,7,8,5,5,9,6,6,2,7,6,7
146,B,5,10,7,8,7,10,6,3,8,9,4,8,3,7,5,10
847,R,1,1,3,1,1,6,9,7,3,7,5,8,2,7,4,11
1575,A,3,8,5,5,2,10,5,3,1,8,1,9,2,7,2,9
95,P,5,8,7,6,4,6,12,7,2,11,5,2,1,10,4,9
143,P,7,11,10,8,5,8,11,6,3,11,4,2,1,11,4,9
1012,B,5,10,6,8,8,8,8,6,6,7,6,6,6,9,6,10
842,P,1,3,3,2,1,6,10,6,2,10,5,3,1,9,3,7
1921,A,2,8,4,5,3,11,2,2,2,9,2,9,2,6,2,7
1379,A,2,7,4,5,3,11,3,2,2,9,2,9,2,6,3,8
1268,P,6,7,8,10,9,6,8,4,4,8,8,6,6,11,6,6
1623,R,1,3,2,1,1,8,8,4,4,9,5,7,2,6,4,8
776,R,2,3,4,2,2,8,8,3,5,9,4,7,2,6,3,10
357,A,4,6,7,7,2,8,6,2,1,7,0,9,3,7,2,7
355,B,5,10,7,8,6,8,8,4,6,7,6,8,7,6,6,9
753,A,1,0,2,1,0,7,4,2,0,7,2,8,2,7,1,8
766,P,2,3,4,2,2,7,9,3,4,12,5,4,0,10,2,8
2007,R,4,8,5,6,3,5,12,8,4,7,3,9,3,7,6,11
883,A,3,9,5,7,4,6,4,2,1,6,1,8,2,6,2,7
232,R,5,10,5,7,7,8,7,7,4,8,5,7,4,7,7,10
1545,A,2,4,3,3,1,11,3,3,2,11,2,9,1,6,2,9
108,P,2,6,3,4,2,3,14,6,2,12,7,3,1,9,3,8
728,P,1,3,3,1,1,7,10,3,3,12,5,4,1,9,2,9
19,A,3,9,6,6,2,8,4,3,2,7,1,8,3,7,3,8
125,R,2,2,3,3,2,7,7,5,5,6,5,6,2,7,5,8
1691,B,3,5,5,3,3,8,8,3,6,10,7,6,2,8,5,8
80,R,1,3,2,2,2,7,7,4,4,7,4,6,2,7,4,8
1667,A,2,1,3,2,1,9,3,2,2,8,2,7,2,6,2,8
2094,A,2,4,4,6,2,7,3,3,3,8,1,8,3,6,3,7
580,A,2,3,3,1,1,8,2,2,1,7,2,8,3,7,2,7
709,A,4,11,6,8,4,12,2,3,3,11,1,9,3,6,3,9
3,R,5,5,6,8,4,6,9,10,5,6,5,9,3,8,6,11
88,P,3,6,5,4,3,7,10,4,4,12,4,3,1,9,3,8
511,B,5,11,5,8,4,6,8,10,7,7,5,7,3,8,9,10
164,P,4,8,4,5,2,3,14,7,1,11,6,4,0,10,4,7
371,P,5,11,6,8,7,6,7,5,4,8,7,8,8,8,6,11
816,B,2,6,3,4,3,6,6,7,5,7,6,7,2,8,6,9
2038,R,3,6,4,4,2,5,10,9,2,7,4,8,2,7,6,11
1618,P,6,11,9,7,6,5,12,4,4,12,6,3,1,10,3,8
938,B,2,0,2,2,1,7,7,8,5,6,6,7,2,8,7,10
898,P,3,7,5,5,3,9,8,2,5,12,4,5,1,10,2,9
713,R,3,8,4,5,3,5,11,8,2,8,4,8,3,7,6,11
1840,P,4,9,6,6,3,7,9,3,4,12,5,4,2,9,2,8
747,A,2,7,2,4,1,7,6,3,1,7,0,8,2,7,1,8
636,A,2,6,5,4,3,5,5,2,2,4,1,7,2,6,3,3
433,A,6,13,6,8,4,12,2,5,1,12,2,10,3,2,3,10
687,A,2,5,4,3,2,8,2,2,2,8,2,8,2,7,2,7
624,B,4,7,4,5,3,6,7,8,7,7,6,7,2,9,9,10
875,R,4,8,6,6,4,7,8,4,6,9,3,8,3,6,4,11
50,B,6,10,8,8,9,7,6,5,6,9,5,8,4,9,7,10
922,R,1,0,2,1,1,6,9,7,3,6,5,7,2,7,4,10
1296,P,2,0,2,1,1,5,10,4,4,10,8,4,1,9,3,7
879,R,5,11,6,8,3,5,10,9,4,7,4,8,3,7,6,11
550,P,3,5,4,4,2,6,10,6,4,9,7,2,1,10,4,6
1186,A,1,3,3,2,1,9,2,3,1,8,2,8,1,6,1,8
1749,B,6,11,4,6,3,10,5,6,5,11,3,9,6,7,7,10
398,P,4,12,4,8,3,4,11,10,3,10,6,3,2,10,4,8
1768,P,7,11,10,9,8,6,7,7,4,8,7,8,2,10,7,9
1967,B,2,1,3,1,2,7,7,4,5,7,6,6,1,8,5,9
78,P,4,8,4,6,2,4,11,9,4,9,6,5,2,10,4,8
247,A,1,0,2,0,0,7,4,2,0,7,3,8,2,7,1,8
1539,A,2,4,4,2,0,11,2,3,2,9,2,9,1,7,2,8
1214,B,4,6,5,4,5,7,6,6,7,6,6,6,3,9,6,10
1253,A,2,4,4,3,2,11,2,4,2,11,1,10,2,6,2,9
1717,P,4,9,5,5,3,3,13,8,1,10,6,3,1,10,4,8
201,B,3,7,4,5,3,5,5,9,7,6,7,7,2,8,8,8
1226,A,3,11,6,8,2,9,5,3,1,8,1,8,2,7,2,8
605,A,2,2,4,3,2,8,3,2,3,8,1,8,2,6,1,7
1756,B,2,1,2,2,2,7,7,5,5,8,6,6,2,8,5,10
144,B,7,12,9,8,8,10,6,3,6,10,3,7,6,7,6,11
378,P,5,10,6,5,4,7,10,4,3,12,5,3,4,11,5,7
798,P,2,1,2,1,1,5,11,7,2,9,6,4,1,9,3,8
820,B,4,8,6,6,6,8,7,4,5,9,5,6,3,8,6,9
924,A,3,8,4,6,4,12,2,4,2,10,2,9,2,6,3,8
1533,B,2,4,3,3,2,8,7,3,5,9,6,6,2,8,5,9
499,R,3,7,4,4,3,9,7,4,6,10,4,6,3,8,4,11
1990,R,7,11,6,6,4,8,8,5,5,9,4,9,7,6,6,11
785,B,1,3,2,2,2,7,8,5,5,7,5,6,2,8,5,9
2032,A,3,9,6,6,3,12,2,1,2,10,2,9,2,6,2,8
1232,B,4,10,5,8,4,6,6,10,7,6,7,8,2,8,9,9
2147,R,6,9,9,8,9,7,7,4,4,7,4,8,8,7,7,8
466,R,4,10,5,7,3,5,9,10,5,7,5,8,3,8,6,10
554,P,3,7,4,5,3,4,12,4,5,11,9,3,0,9,4,7
669,R,4,11,4,8,3,7,9,10,5,7,6,8,3,8,6,11
1764,B,7,11,9,8,7,10,6,4,7,10,4,7,3,8,6,11
2035,P,3,6,4,5,2,4,13,8,0,10,6,3,0,10,4,8
110,P,2,0,1,1,0,5,11,7,2,9,6,4,1,9,3,8
1189,A,2,1,4,3,2,6,2,2,2,5,2,7,2,6,2,6
1726,P,5,7,7,5,3,7,11,3,6,14,5,2,0,10,2,8
150,B,9,13,7,8,5,6,8,5,8,10,6,8,6,6,7,9
1995,R,3,5,5,3,3,9,6,3,5,10,4,7,3,6,4,9
646,B,1,3,3,2,2,7,8,2,5,10,5,6,2,8,4,8
71,P,0,0,1,0,0,5,9,6,1,9,6,6,2,9,2,8
13,P,4,6,4,8,3,5,10,10,5,8,6,5,2,10,4,8
984,B,6,6,6,8,6,7,6,9,7,6,6,7,3,8,10,10
903,P,0,3,3,1,1,7,9,4,3,11,5,4,1,9,1,8
1383,R,6,9,6,4,4,8,7,3,5,9,4,8,6,7,6,8
1249,R,4,5,5,7,4,5,10,9,3,7,4,8,2,7,6,11
1659,P,7,10,7,5,3,8,9,5,4,11,4,5,4,9,5,8
730,A,2,7,6,5,3,6,4,2,1,4,2,7,2,5,2,6
932,A,1,1,2,1,1,7,3,2,0,7,2,8,2,6,1,8
337,P,8,11,8,6,6,9,8,4,4,12,4,4,5,10,6,7
0,A,3,2,6,4,2,10,1,2,2,9,1,8,2,6,2,8
518,A,3,9,5,7,3,12,3,4,3,10,1,9,2,7,3,9
391,P,6,9,5,5,2,7,8,5,3,12,4,6,6,9,4,8
127,R,4,7,4,5,4,5,10,7,3,7,4,9,2,7,5,11
395,R,5,11,7,8,7,9,8,4,5,9,4,7,3,7,4,11
2176,P,5,8,7,10,10,7,8,4,3,7,7,7,6,11,5,6
905,A,4,8,6,6,4,8,6,2,4,6,2,6,2,7,2,6
67,B,3,7,4,5,3,9,8,4,6,10,5,6,2,7,6,9
45,B,5,9,8,8,9,7,7,4,4,6,6,9,7,9,9,6
199,P,4,10,5,8,4,5,11,3,7,11,9,4,0,10,4,7
23,A,3,5,5,3,2,9,2,1,2,8,2,9,3,6,2,8
1370,B,5,9,7,7,10,9,8,4,4,6,8,6,6,11,8,7
946,R,5,5,5,6,3,5,12,8,3,7,2,9,3,7,6,11
199,A,4,8,7,6,5,6,5,2,3,5,2,6,2,6,3,4
1721,A,2,1,3,1,1,7,4,2,0,7,2,8,2,6,2,8
1422,P,5,10,4,7,4,4,12,6,5,12,9,3,1,10,3,6
1992,R,6,8,9,7,9,7,8,3,4,7,5,8,8,7,6,7
708,B,6,10,8,8,7,7,7,6,6,9,7,6,3,8,8,9
1009,R,10,15,9,8,5,7,7,5,5,9,5,9,7,4,7,11
1628,B,5,9,7,8,7,8,8,3,6,10,5,6,3,7,6,8
2143,P,1,3,3,1,1,6,10,3,3,12,6,4,0,9,2,8
147,B,3,10,4,8,5,6,7,8,5,7,6,7,2,8,7,9
1229,B,2,6,3,4,2,6,7,9,6,7,6,7,2,8,8,10
1310,B,5,10,7,8,8,8,7,5,7,7,6,5,2,8,6,10
1801,R,3,6,5,4,5,9,7,3,5,10,3,7,3,7,3,10
866,P,4,5,4,7,2,3,13,8,1,11,6,3,1,10,4,8
1431,P,4,8,6,6,4,6,7,6,4,7,6,9,5,8,6,10
58,A,4,6,5,4,5,8,8,3,5,7,8,7,5,10,4,6
1889,R,4,9,5,7,7,7,8,3,4,7,6,8,6,9,7,5
637,B,3,6,4,4,4,7,7,4,6,7,6,6,2,8,5,10
1858,P,4,11,5,8,4,5,11,8,4,9,7,3,2,10,4,7
8,B,3,7,5,5,5,7,8,7,6,7,5,7,3,7,6,10
1750,B,5,10,7,7,6,7,8,6,8,7,6,6,7,8,6,10
774,R,3,1,3,2,2,6,8,5,5,6,6,7,2,6,4,8
1735,P,5,9,6,6,3,5,12,9,2,9,5,4,1,10,4,8
835,B,3,4,5,3,3,6,8,3,5,10,6,6,2,9,6,9
1,P,1,0,2,0,0,5,11,6,1,9,6,5,1,9,3,8
878,P,7,11,10,8,6,9,9,4,6,12,3,3,2,10,4,9
1638,R,4,8,7,6,7,5,6,4,4,7,5,9,8,11,7,6
154,A,2,3,3,1,1,8,2,2,1,7,1,8,2,6,2,7
248,A,3,4,3,3,1,10,2,3,2,10,2,10,2,6,2,8
292,R,4,7,5,6,5,7,8,5,6,6,3,8,3,6,5,9
1991,R,4,9,6,7,5,10,7,3,6,11,3,7,2,5,4,10
596,P,5,11,5,8,4,3,13,7,1,11,6,3,0,10,3,8
665,A,3,9,6,7,4,12,3,2,2,9,2,9,2,6,2,8
1687,P,3,4,6,2,2,9,10,5,3,11,4,3,1,10,2,7
98,A,4,9,6,8,4,12,2,3,2,10,2,9,2,7,3,8
558,R,5,7,6,5,6,8,9,7,3,8,4,6,5,7,7,9
53,A,3,7,5,5,4,8,2,2,2,7,2,7,2,6,3,6
1846,A,3,6,5,4,3,8,2,2,3,7,2,8,1,6,2,7
1285,B,7,11,9,8,7,8,6,4,7,10,5,6,3,8,6,10
2127,R,2,4,3,3,3,8,8,6,5,7,5,7,2,6,4,8
165,R,4,9,6,6,6,7,8,5,5,8,5,7,3,7,5,9
1071,R,4,8,5,6,3,6,13,8,4,6,2,9,3,7,6,10
1752,P,3,7,3,4,2,3,12,8,2,10,6,4,1,10,3,8
41,B,3,3,3,6,3,6,6,9,6,6,6,7,2,8,9,10
1491,A,4,4,6,7,2,9,4,3,3,8,2,9,3,6,3,9
509,P,4,8,7,11,10,9,8,4,3,6,9,7,7,10,6,4
711,B,3,8,4,6,5,9,7,4,5,10,5,7,2,8,5,9
2031,P,3,9,4,6,3,4,10,8,2,10,6,4,1,10,3,8
2148,A,3,10,7,8,4,14,3,4,3,12,0,8,2,6,2,9
2102,A,6,8,8,7,7,6,7,7,5,7,4,9,4,7,12,2
1335,A,3,2,5,3,2,6,2,2,1,5,2,8,2,7,3,6
726,A,4,10,7,7,2,7,5,3,1,7,1,8,3,7,2,7
138,B,5,8,7,6,6,10,6,3,6,10,4,7,3,8,5,10
270,R,4,10,5,6,3,5,10,9,4,7,4,8,3,7,6,11
316,R,12,15,9,8,5,9,6,6,5,10,2,8,7,5,6,11
541,P,3,1,4,3,2,5,10,3,5,9,8,4,3,10,3,7
1437,B,4,8,6,6,7,7,8,6,4,7,5,6,4,7,6,6
732,A,3,8,6,6,4,10,5,1,4,8,2,6,2,7,4,8
863,A,3,6,5,8,2,7,6,3,1,6,0,8,2,7,1,8
187,R,4,9,4,5,3,9,7,3,5,9,3,8,5,7,6,8
1893,P,4,7,5,6,4,6,9,6,5,9,7,4,3,10,3,7
1734,P,5,10,6,7,3,4,12,9,2,10,6,4,1,10,4,7
438,R,3,5,5,2,3,8,8,3,5,10,5,7,3,6,4,10
539,R,8,12,8,6,6,7,8,3,6,9,3,8,6,6,6,6
1677,B,2,5,4,4,3,8,7,3,5,10,5,6,2,8,4,9
264,B,2,3,3,2,2,8,7,2,5,11,5,6,2,7,4,9
9,R,5,9,7,6,7,9,7,6,3,8,5,6,5,6,7,9
259,R,8,14,8,8,6,8,8,3,5,9,4,8,6,6,7,7
329,A,8,13,7,7,4,11,4,3,2,7,4,10,5,5,4,9
821,A,4,9,6,8,6,6,8,1,6,7,8,9,5,11,2,7
965,A,3,5,5,4,2,10,2,2,2,9,3,9,2,6,1,8
1342,B,5,4,5,6,4,7,9,9,8,7,5,7,2,8,9,9
211,A,0,3,2,1,1,11,3,3,2,10,2,9,1,6,1,8
1479,B,4,9,4,7,4,7,8,10,7,7,6,7,2,8,9,9
650,A,3,8,6,5,3,11,2,2,3,9,2,9,3,5,3,8
1489,A,3,8,5,5,2,9,6,3,1,8,0,8,2,7,1,8
881,P,4,10,5,7,2,3,13,8,2,11,7,3,1,10,4,8
593,R,4,9,6,7,4,10,7,3,6,11,2,7,3,6,3,9
130,P,6,11,9,8,4,8,10,7,5,10,4,3,3,10,4,8
99,A,2,1,3,1,1,7,4,2,1,7,2,9,2,7,1,6
342,B,4,7,6,6,5,10,6,3,6,10,4,8,3,8,5,11
759,B,3,2,4,4,4,7,7,5,6,7,6,7,2,8,6,10
1790,P,4,7,5,5,4,5,11,3,6,10,9,6,4,10,3,8
2177,B,2,1,2,1,2,7,7,7,5,6,6,7,0,8,7,8
1011,B,4,8,4,7,3,6,7,9,7,7,6,7,2,8,9,10
2180,B,2,4,2,3,2,7,7,5,4,6,6,6,2,8,5,9
2023,R,4,9,5,5,2,5,12,8,4,7,2,9,3,7,6,11
890,P,6,9,7,7,7,7,7,7,5,9,7,8,3,9,7,9
872,R,5,9,5,7,7,5,10,7,4,6,4,9,2,7,5,11
33,R,5,9,5,7,5,6,8,8,4,6,5,7,3,8,6,13
54,A,2,0,3,1,0,7,4,2,0,6,2,8,2,7,0,8
832,R,6,10,8,8,5,7,9,5,8,5,4,10,5,3,7,9
1181,A,6,9,6,5,3,12,3,5,2,12,3,10,5,3,3,10
810,P,8,12,6,7,2,8,8,5,4,12,4,7,5,9,4,8
10,R,4,9,5,7,5,7,7,5,6,6,5,7,3,7,6,8
472,B,8,13,8,7,7,7,7,4,5,9,5,8,8,4,9,7
816,R,4,7,4,4,2,5,11,8,3,7,4,8,2,7,6,11
772,A,10,14,8,8,4,11,1,3,0,10,4,11,3,4,3,10
772,B,3,6,4,4,3,6,6,8,6,5,6,7,2,8,9,10
1142,B,4,2,5,4,4,7,7,5,6,7,6,6,2,8,7,10
1242,R,6,8,9,7,9,9,6,4,4,8,5,7,7,9,7,7
1100,P,4,8,4,5,2,5,10,9,5,9,6,5,2,10,4,8
150,R,5,8,7,6,6,8,8,7,3,7,4,5,5,7,7,8
556,A,6,12,6,6,3,14,1,5,2,12,2,10,1,3,2,10
737,P,6,10,7,9,6,7,10,5,4,12,5,3,1,10,3,8
1857,A,3,10,6,7,2,7,2,3,3,7,1,8,3,6,3,7
723,P,3,6,4,4,2,5,11,9,3,9,6,5,1,10,4,8
224,B,4,7,5,4,4,9,9,3,5,10,5,5,3,8,6,9
18,A,2,3,4,2,1,6,2,2,2,5,2,8,2,6,2,6
1670,A,3,4,5,3,2,10,2,3,2,9,3,9,2,6,2,8
187,A,7,10,9,8,9,8,6,7,4,7,6,9,6,8,8,2
180,A,5,8,9,6,6,6,5,2,4,6,1,6,5,7,4,6
1432,P,4,7,6,10,10,8,9,5,0,8,7,6,5,11,6,10
157,P,12,13,8,8,3,7,9,6,4,12,3,4,5,10,5,8
2170,B,5,6,6,8,5,7,6,9,8,6,7,7,3,8,10,10
444,P,2,6,2,4,1,3,13,5,1,11,7,4,0,9,2,7
1338,A,4,9,6,6,2,7,4,3,2,7,1,8,3,7,2,8
2034,P,4,5,4,8,2,3,13,8,2,11,7,3,1,10,4,8
1276,B,5,7,7,5,5,8,6,6,7,9,8,6,3,8,9,7
1378,A,2,5,4,3,2,11,2,2,2,9,2,9,2,6,2,8
920,A,4,9,6,6,2,9,5,3,1,8,1,8,2,6,2,8
116,P,6,10,9,8,7,5,8,8,5,8,7,9,3,9,8,9
931,A,8,14,8,8,6,9,4,5,4,10,6,12,9,2,7,11
1332,R,6,9,6,4,4,6,8,3,5,7,4,10,5,8,6,8
1602,P,6,6,8,10,9,7,9,4,2,7,8,7,6,11,6,5
599,R,3,3,3,4,2,5,10,9,4,6,4,8,3,7,5,11
889,B,4,7,5,5,4,9,7,5,8,7,6,5,2,8,7,9
1699,A,4,5,6,4,4,8,8,3,4,6,7,7,6,8,4,4
786,B,3,5,3,5,3,7,7,5,5,6,6,6,2,8,6,10
1970,B,4,6,5,4,4,7,9,5,6,10,6,6,2,8,5,8
757,A,3,6,5,8,2,8,6,3,1,7,0,8,3,7,1,8
43,P,3,4,4,4,2,4,13,8,1,11,6,3,1,10,4,8
2151,A,5,9,6,7,7,8,8,8,4,6,6,8,3,9,8,4
2169,A,7,11,6,6,3,11,2,3,2,10,4,11,4,4,4,9
1537,B,1,0,1,1,1,7,7,7,4,6,6,7,1,8,6,9
2004,R,4,7,6,6,6,6,7,5,6,8,6,7,3,7,5,9
72,A,3,7,5,5,3,11,3,2,2,9,1,9,3,5,2,8
